trial,reward,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_tau,params_train_freq,state
1,385.2818348479401,32301.756387,relu,16,100000,0.99,0.0002812041488117,small,0.01,512,COMPLETE
28,368.24214792983946,50387.998289,relu,128,1000000,0.9999,2.062337496706452e-05,big,0.001,4,COMPLETE
34,350.9718947680383,52576.890611,tanh,128,1000000,0.98,0.0015751121284413,big,0.005,8,COMPLETE
33,321.0812109167863,47369.524959,leaky\_relu,128,1000000,0.9999,4.820741840612005e-05,big,0.01,256,COMPLETE
43,317.38242503123706,84811.71252,leaky\_relu,512,1000000,0.9999,2.7052591145258925e-05,big,0.01,32,COMPLETE
8,313.5056137289421,31160.179315,relu,100,1000000,0.999,0.0005857811669135,small,0.08,256,COMPLETE
39,306.09540850862413,43985.905498,relu,64,1000000,0.9999,1.7923354185706156e-05,big,0.001,4,COMPLETE
38,300.5986170942616,42756.497922,tanh,100,1000000,0.995,1.5709077251392605e-05,big,0.001,4,COMPLETE
2,297.87660367467714,51259.673398,relu,128,1000000,0.9999,0.0003007544419493,big,0.005,256,COMPLETE
36,295.64565643169993,35880.723755,relu,16,1000000,0.999,0.0005626987847514,medium,0.005,256,COMPLETE
11,290.5044449535188,94902.780788,relu,1024,1000000,0.995,1.189705878759903e-05,medium,0.08,256,COMPLETE
37,288.43568180591376,49256.763455,leaky\_relu,128,100000,0.9999,1.4031858536590304e-05,big,0.001,4,COMPLETE
27,272.28219721807534,29326.133839,relu,32,1000000,0.999,0.0006839741743839,small,0.08,32,COMPLETE
18,272.03217802086425,43909.06747,elu,512,1000000,0.999,4.841114046033426e-05,small,0.08,256,COMPLETE
46,266.71377008287755,229513.039826,tanh,2048,1000000,0.98,0.000917568998381,big,0.02,8,COMPLETE
13,266.44776571591945,52011.666425,elu,64,100000,0.995,0.0002450537564913,big,0.08,16,COMPLETE
26,265.1300336717453,29162.012485,relu,16,100000,0.99,0.0001048472579666,small,0.08,512,COMPLETE
23,263.615318398888,29604.304478,relu,16,100000,0.99,9.012242619996504e-05,small,0.01,512,COMPLETE
15,262.0140942181598,33793.560498,tanh,100,100000,0.995,0.0006178359684818,small,0.02,32,COMPLETE
48,255.1107101125477,84056.472455,leaky\_relu,512,1000000,0.9999,0.0002718573573818,big,0.01,8,COMPLETE
6,253.84357277828516,88766.721622,tanh,512,1000000,0.9,0.0008526296720272,big,0.02,512,COMPLETE
21,246.1787010212344,60979.729478,relu,256,100000,0.98,3.971830341403021e-05,big,0.01,512,COMPLETE
45,245.49291069612133,81599.525396,leaky\_relu,512,1000000,0.9999,0.0001424536210084,big,0.02,256,COMPLETE
20,234.94202473222413,30046.390811,relu,64,10000,0.999,0.0027494917183151,small,0.08,256,COMPLETE
5,233.09625527183053,34727.691609,leaky\_relu,16,10000,0.9999,2.610746211322837e-05,medium,0.01,1,COMPLETE
19,217.2104846017289,29368.925263,relu,16,100000,0.9,0.0003975186952018,small,0.01,128,COMPLETE
7,212.15772145162504,30430.20269,tanh,100,100000,0.9999,2.683199839368143e-05,small,0.01,16,COMPLETE
49,194.5162751894184,41537.493026,leaky\_relu,128,1000000,0.9999,3.734720534247867e-05,medium,0.01,256,COMPLETE
25,191.1126824391903,33420.048151,relu,100,1000000,0.999,0.0010413829948397,small,0.08,64,COMPLETE
10,154.7360943863267,34489.729318,elu,64,100000,0.995,7.001760994072556e-05,small,0.05,1,COMPLETE
29,152.45165304077017,50526.296969,relu,128,1000000,0.9999,0.0002486893114369,big,0.08,4,COMPLETE
41,146.63585055432026,51343.502259,tanh,128,1000000,0.98,0.0008535736502111,big,0.02,8,COMPLETE
31,144.56194457924494,30694.97072,relu,100,1000000,0.95,0.0057401152219295,small,0.08,256,COMPLETE
17,141.93543406232527,30756.058735,relu,100,100000,0.99,0.008130715675191,small,0.01,64,COMPLETE
22,129.94727934709508,30186.273561,relu,64,1000000,0.99,1.5657233935982574e-05,small,0.005,128,COMPLETE
47,128.6915134448553,53105.406185,tanh,128,1000000,0.9,0.0013444333344478,big,0.005,8,COMPLETE
0,69.91667117180448,31778.1926,elu,64,100000,0.99,0.0615163060987298,small,0.02,32,COMPLETE
14,47.924088121649234,69602.910079,relu,256,10000,0.9999,0.8521175399803704,big,0.001,512,COMPLETE
12,41.96616130345352,38486.257062,tanh,32,1000000,0.999,0.0013256620583093,medium,0.02,512,COMPLETE
3,9.393740968769205,33065.394847,leaky\_relu,256,100000,0.999,0.0478299798409504,small,0.005,4,COMPLETE
9,-9.146079341690625,134187.200704,leaky\_relu,1024,100000,0.98,0.0964651763943719,big,0.005,4,COMPLETE
32,-9.28324357815851,137604.723588,relu,1024,1000000,0.9999,0.0029528087674009,big,0.005,256,COMPLETE
16,-23.7545029186066,56060.795387,elu,100,10000,0.9,0.0190429241771345,big,0.02,256,COMPLETE
4,-23.947396468605557,159434.07723,relu,2048,100000,0.98,0.160542617284121,medium,0.05,1,COMPLETE
42,-26.35751823899308,48137.193466,tanh,64,1000000,0.98,0.0282917923214629,big,0.005,8,COMPLETE
24,-31.651377225250823,30668.330384,relu,100,1000000,0.999,0.0014200339688244,small,0.001,128,COMPLETE
30,-75.02350046944946,230506.239836,relu,2048,100000,0.9999,0.0017014051024404,big,0.005,256,COMPLETE
35,-82.61916813908573,54114.012535,relu,128,1000000,0.9999,0.0089567300051326,big,0.005,256,COMPLETE
44,-121.19416232208546,54405.219313,tanh,128,1000000,0.999,0.0058279647018053,big,0.005,8,COMPLETE
40,-154.3362892949513,49559.841723,leaky\_relu,128,1000000,0.999,0.0024445017401879,big,0.01,256,COMPLETE
